('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      360    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       24    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        4    0.000    0.000    0.061    0.015 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:94(IncompleteRead)
       18    0.000    0.000    0.002    0.000 dataclasses.py:527(_init_fn)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      112    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
        8    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
      615    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      244    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 http_proxy.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      106    0.000    0.000    0.000    0.000 dataclasses.py:824(_set_new_attribute)
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        2    0.000    0.000    0.068    0.034 http11.py:1(<module>)
      266    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
        2    0.000    0.000    0.363    0.181 connection.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      248    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
    27/16    0.000    0.000    0.570    0.036 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
       59    0.000    0.000    0.001    0.000 _util.py:84(validate)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      657    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
